,id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
0,21742,San Cristóbal,64.0,2,1,85000,1328
1,21741,Los Ángeles,70.0,3,1,129900,1856
2,21740,San Andrés,94.0,2,2,144247,1535
3,21739,San Andrés,64.0,2,1,109900,1717
4,21738,Los Rosales,108.0,2,2,260000,2407
5,21737,San Andrés,126.0,4,2,195000,1548
6,21736,San Andrés,120.0,5,2,190000,1583
7,21735,Villaverde,125.0,3,2,198500,1588
8,21734,Villaverde,84.0,3,2,212000,2524
9,21733,Los Rosales,85.0,2,1,131400,1546
10,21732,San Andrés,69.0,2,2,118000,1710
11,21731,Villaverde,122.0,3,2,246900,2024
12,21730,Los Rosales,123.0,3,2,195000,1585
13,21729,Los Ángeles,109.0,3,2,205000,1881
14,21728,San Cristóbal,64.0,3,1,72000,1125
15,21727,Los Rosales,115.0,3,1,160000,1391
16,21726,Villaverde,115.0,3,1,184900,1608
17,21725,Villaverde,65.0,3,1,90000,1385
18,21724,Villaverde,75.0,3,1,129900,1732
19,21723,Villaverde,60.0,2,1,94900,1582
20,21722,Villaverde,60.0,2,1,89900,1498
21,21721,Villaverde,95.0,4,2,144900,1525
22,21720,Villaverde,76.0,3,1,110000,1447
23,21719,San Andrés,51.0,2,1,93000,1824
24,21718,San Andrés,134.0,3,2,130000,970
25,21717,San Andrés,62.0,2,1,104000,1677
26,21716,San Andrés,75.0,3,1,138000,1840
27,21715,Villaverde,112.0,4,2,280000,2500
28,21714,Los Rosales,65.0,3,1,150000,2308
29,21713,San Andrés,70.0,2,1,145900,2084
30,21712,San Andrés,75.0,1,1,92500,1233
31,21711,Los Rosales,123.0,3,2,298000,2423
32,21710,San Andrés,61.0,3,1,99900,1638
33,21709,Villaverde,72.0,2,1,138000,1917
34,21708,Butarque,61.0,3,1,100000,1639
35,21707,San Andrés,71.0,3,1,131400,1851
36,21706,Villaverde,87.0,3,1,96000,1103
37,21705,San Andrés,60.0,2,1,154000,2567
38,21704,Los Ángeles,78.0,4,1,146700,1881
39,21703,Los Rosales,52.0,1,1,92500,1779
40,21702,Butarque,125.0,3,3,275000,2200
